cls1,1,1,"Dr. Carlos Vargas Mercado","Anestesiología","Médico General","III Nivel","COLMED-SC-3171",6
2,1,2,"Lic. Hugo Quispe Vargas","Neurología","Técnico Sanitario","I Nivel","COLMED-LP-6443",38
3,1,3,"Dr. María Rocha Salvatierra","Dermatología","Médico Especialista","III Nivel","COLMED-BE-7698",4
4,1,4,"Dra. Raúl Mercado Nina","Dermatología","Médico Especialista","I Nivel","COLMED-SC-1543",30
5,1,5,"Dra. Hugo Ticona Mercado","Medicina Interna","Cirujano","I Nivel","COLMED-TJ-1624",15
6,1,6,"Dra. Laura Mendoza Pinto","Ginecología y Obstetricia","Médico Especialista","III Nivel","COLMED-LP-9900",11
7,1,7,"Lic. Ana Arce Nina","Dermatología","Técnico Sanitario","III Nivel","COLMED-OR-6045",19
8,1,8,"Lic. Carlos Quispe Pinto","Ginecología y Obstetricia","Técnico Sanitario","I Nivel","COLMED-TJ-2260",31
9,1,9,"Dra. Ana Mamani Choque","Medicina General","Cirujano","II Nivel","COLMED-CH-6895",35
10,1,10,"Lic. Silvia Aguilar Choque","Traumatología","Enfermera","I Nivel","COLMED-SC-2230",5
11,1,11,"Dr. Juan Flores Rojas","Pediatría","Médico General","II Nivel","COLMED-TJ-1617",5
12,1,12,"Dra. Carlos Salvatierra Aguilar","Medicina General","Médico General","II Nivel","COLMED-TJ-4628",32
13,1,13,"Dra. Raúl Pinto Vaca","Urología","Médico Especialista","I Nivel","COLMED-CB-7116",37
14,1,14,"Dr. Marcos Ticona Condori","Urología","Médico General","I Nivel","COLMED-TJ-9223",13
15,1,15,"Dra. Laura Vaca Vaca","Ginecología y Obstetricia","Médico Residente","I Nivel","COLMED-OR-6462",7
16,1,16,"Dr. Hugo Quispe Salvatierra","Ginecología y Obstetricia","Médico Especialista","III Nivel","COLMED-TJ-2725",2
17,1,17,"Lic. Carlos Salvatierra Nina","Ginecología y Obstetricia","Enfermera Jefe","III Nivel","COLMED-OR-8783",24
18,1,18,"Dra. José Flores Nina","Urología","Médico General","II Nivel","COLMED-BE-7747",22
19,1,19,"Dra. Silvia Arce Nina","Cardiología","Médico Residente","I Nivel","COLMED-LP-6291",20
20,1,20,"Lic. Ana Rocha Vaca","Urología","Enfermera Jefe","I Nivel","COLMED-SC-5437",3
21,1,21,"Dra. Carlos Zárate Vaca","Oftalmología","Médico General","I Nivel","COLMED-BE-4810",21
22,1,22,"Dr. Ana Choque Salvatierra","Urología","Médico Residente","I Nivel","COLMED-LP-8632",37
23,1,23,"Dr. Silvia Choque Salvatierra","Cardiología","Médico General","II Nivel","COLMED-PA-1172",9
24,1,24,"Lic. Marcos Condori Pérez","Endocrinología","Enfermera Jefe","III Nivel","COLMED-LP-2855",5
25,1,25,"Dr. Laura Mendoza Vaca","Neurología","Médico Residente","III Nivel","COLMED-TJ-5245",5
26,1,26,"Dr. Rosa Mercado Choque","Medicina Interna","Cirujano","I Nivel","COLMED-PA-8192",27
27,1,27,"Lic. Rosa Mamani Vaca","Dermatología","Técnico Sanitario","III Nivel","COLMED-CB-8733",10
28,1,28,"Dra. Martha Mendoza Condori","Medicina General","Médico Especialista","III Nivel","COLMED-CB-9438",29
29,1,29,"Dra. Luis Rojas Ticona","Neurología","Médico Especialista","III Nivel","COLMED-CH-4004",19
30,1,30,"Dr. Patricia Pinto Pérez","Pediatría","Médico General","I Nivel","COLMED-CB-3106",26
31,1,31,"Lic. Javier Salvatierra Quispe","Neurología","Técnico Sanitario","II Nivel","COLMED-SC-8142",9
32,1,32,"Lic. Hugo Ticona Nina","Medicina General","Enfermera Jefe","II Nivel","COLMED-BE-2106",15
33,1,33,"Lic. Carmen Flores Zárate","Medicina General","Enfermera","III Nivel","COLMED-TJ-2126",14
34,1,34,"Dr. Marcos Flores Condori","Endocrinología","Cirujano","I Nivel","COLMED-PO-1801",3
35,1,35,"Lic. Javier Pinto Nina","Urología","Técnico Sanitario","II Nivel","COLMED-BE-3484",6
36,1,36,"Dr. Carlos Flores Aguilar","Medicina General","Médico Especialista","II Nivel","COLMED-LP-2440",26
37,1,37,"Dra. Fernando Flores Salvatierra","Cirugía General","Médico Especialista","II Nivel","COLMED-CB-7341",34
38,1,38,"Dr. Raúl Zárate Rojas","Medicina Interna","Cirujano","III Nivel","COLMED-BE-5164",17
39,1,39,"Lic. Raúl Mendoza Nina","Medicina Interna","Técnico Sanitario","I Nivel","COLMED-SC-9568",13
40,1,40,"Dra. Patricia Mercado Rojas","Dermatología","Cirujano","III Nivel","COLMED-TJ-1199",22
41,1,41,"Lic. Ana Rojas Nina","Cardiología","Técnico Sanitario","III Nivel","COLMED-CB-9869",15
42,1,42,"Lic. María Mamani Choque","Cirugía General","Técnico Sanitario","II Nivel","COLMED-LP-8675",5
43,1,43,"Dra. Laura Rojas Quispe","Pediatría","Médico General","I Nivel","COLMED-TJ-7400",34
44,1,44,"Dr. Javier Rojas Mendoza","Oftalmología","Médico Especialista","I Nivel","COLMED-CH-8306",6
45,1,45,"Dra. Marcos Vaca Arce","Endocrinología","Médico Especialista","I Nivel","COLMED-LP-7513",7
46,1,46,"Dra. Silvia Pinto Rocha","Medicina Interna","Cirujano","II Nivel","COLMED-CB-3556",29
47,1,47,"Dra. José Ticona Arce","Cardiología","Médico General","II Nivel","COLMED-LP-2080",29
48,1,48,"Dra. Silvia Vargas Pinto","Oftalmología","Médico Especialista","I Nivel","COLMED-TJ-2698",2
49,1,49,"Dra. Hugo Pérez Aguilar","Cardiología","Médico Especialista","II Nivel","COLMED-TJ-8568",1
50,1,50,"Lic. Carlos Mercado Arce","Neurología","Técnico Sanitario","III Nivel","COLMED-LP-7890",33
51,1,51,"Lic. Martha Ticona Mendoza","Traumatología","Técnico Sanitario","III Nivel","COLMED-PA-2739",6
52,1,52,"Lic. Martha Gutiérrez Salvatierra","Urología","Técnico Sanitario","II Nivel","COLMED-CB-2119",24
53,1,53,"Dr. Juan Flores Arce","Medicina General","Médico General","I Nivel","COLMED-CH-7378",37
54,1,54,"Dr. María Pinto Ticona","Anestesiología","Médico Especialista","III Nivel","COLMED-CB-4038",3
55,1,55,"Lic. Luis Gutiérrez Mamani","Dermatología","Técnico Sanitario","I Nivel","COLMED-OR-4157",13
56,1,56,"Dra. Laura Choque Condori","Urología","Cirujano","II Nivel","COLMED-TJ-7953",15
57,1,57,"Dra. Carlos Condori Quispe","Anestesiología","Cirujano","I Nivel","COLMED-TJ-9569",4
58,1,58,"Lic. Raúl Rocha Salvatierra","Traumatología","Enfermera","III Nivel","COLMED-CB-3379",23
59,1,59,"Lic. Carmen Rocha Rojas","Ginecología y Obstetricia","Técnico Sanitario","II Nivel","COLMED-LP-3863",33
60,1,60,"Lic. Ana Nina Rojas","Anestesiología","Enfermera","III Nivel","COLMED-LP-1761",35
61,1,61,"Dra. Ana Arce Flores","Oftalmología","Médico Especialista","I Nivel","COLMED-TJ-4077",23
62,1,62,"Dra. Ana Flores Pérez","Cardiología","Cirujano","I Nivel","COLMED-PA-3984",13
63,1,63,"Lic. José Mendoza Rocha","Dermatología","Enfermera","III Nivel","COLMED-SC-2621",3
64,1,64,"Dr. Juan Rocha Nina","Dermatología","Médico Residente","I Nivel","COLMED-CB-5285",33
65,1,65,"Lic. Raúl Condori Vaca","Anestesiología","Enfermera Jefe","III Nivel","COLMED-CB-7394",33
66,1,66,"Lic. Luis Ticona Quispe","Anestesiología","Enfermera Jefe","I Nivel","COLMED-TJ-9321",24
67,1,67,"Dra. Raúl Zárate Nina","Endocrinología","Médico General","III Nivel","COLMED-PO-3174",33
68,1,68,"Dr. Raúl Zárate Vaca","Cardiología","Cirujano","I Nivel","COLMED-SC-9567",40
69,1,69,"Dr. Daniela Zárate Pinto","Neurología","Médico General","III Nivel","COLMED-OR-3376",17
70,1,70,"Lic. Carlos Gutiérrez Vaca","Cirugía General","Técnico Sanitario","III Nivel","COLMED-PO-8282",25
71,1,71,"Dra. Javier Pinto Gutiérrez","Cirugía General","Cirujano","II Nivel","COLMED-PA-9553",23
72,1,72,"Dra. José Mendoza Vargas","Urología","Médico General","I Nivel","COLMED-OR-5453",36
73,1,73,"Dr. Ana Vaca Rojas","Pediatría","Cirujano","II Nivel","COLMED-SC-6186",1
74,1,74,"Lic. Rosa Mendoza Rojas","Ginecología y Obstetricia","Técnico Sanitario","III Nivel","COLMED-LP-1484",29
75,1,75,"Dr. Fernando Rocha Gutiérrez","Traumatología","Médico Especialista","I Nivel","COLMED-LP-9488",33
76,1,76,"Dra. Carlos Mamani Pinto","Cardiología","Médico General","I Nivel","COLMED-TJ-6897",18
77,1,77,"Lic. Marcos Rojas Flores","Traumatología","Técnico Sanitario","I Nivel","COLMED-CB-3605",22
78,1,78,"Dra. Carmen Gutiérrez Salvatierra","Cirugía General","Médico Residente","II Nivel","COLMED-BE-4172",31
79,1,79,"Dra. Pedro Mamani Nina","Anestesiología","Médico Especialista","II Nivel","COLMED-PO-8724",9
80,1,80,"Dr. Laura Arce Salvatierra","Cardiología","Médico Especialista","II Nivel","COLMED-LP-6813",38
81,1,81,"Dr. Pedro Rojas Vargas","Pediatría","Cirujano","II Nivel","COLMED-PA-9373",23
82,1,82,"Dra. Juan Quispe Mercado","Oftalmología","Cirujano","II Nivel","COLMED-CB-7274",32
83,1,83,"Lic. Rosa Mamani Zárate","Endocrinología","Enfermera Jefe","III Nivel","COLMED-BE-6336",6
